French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
suite,after
pardon,sorry
venez,come
minutes,minutes
demandé,request
chambre,bedroom
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
compte,account
donne,given
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
